Date Of Stop,Time Of Stop,SubAgency,Description,Location,Accident,Belts,Personal Injury,Property Damage,Commercial License,Commercial Vehicle,Alcohol,State,Year,Make,Model,Color,Violation Type,Charge,Contributed To Accident,Race,Gender,Driver State,DL State,Arrest Type
07/23/2014,16:49:00,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,NORBECK @ WINTERGATE DR,No,No,No,Yes,No,No,No,MD,2000.0,BMW,4S,BLUE,Citation,16-115(g),No,BLACK,M,MD,MD,A - Marked Patrol
05/10/2013,20:27:00,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE./POSTGATE  TERR.,No,No,No,No,Yes,No,No,MD,2005.0,ISUZU,TROOPER,SILVER,Citation,16-112(c),No,WHITE,M,MD,XX,A - Marked Patrol
08/17/2013,00:08:00,"4th district, Wheaton",FAILURE OF DRIVER TO YIELD RIGHT-OF-WAY TO POLICEVEH. USING SIGNALS,GEORGIA AT ROSSMORE,No,No,No,No,No,No,No,MD,2006.0,HOND,VN,SILVER,Citation,21-405(a),No,BLACK,F,MD,MD,A - Marked Patrol
12/06/2013,20:13:00,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,WB 198/29,No,No,No,No,No,No,No,MD,2006.0,DODGE,MAGNUM,RED,Citation,21-201(a1),No,BLACK,F,MD,DC,A - Marked Patrol
09/27/2013,10:50:00,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 75 MPH IN A POSTED 45 MPH ZONE,NORBECK RD/ FIRESTONE DR,No,No,No,No,No,No,No,DC,2007.0,SUBARU,4DR,"BLUE, LIGHT",Citation,21-801.1,No,ASIAN,M,MD,MD,Q - Marked Laser
09/03/2013,22:13:00,"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 58 IN A 45,RANDOLPH RD/ KEMP MILL RD,No,No,No,No,No,No,No,MD,2002.0,ACURA,4S,BLUE,Citation,21-801(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
12/06/2013,19:08:00,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,FERNWOOD RD @ MICHAELS DR,No,No,No,No,No,No,No,MD,2006.0,BUICK,LACROSSE,RED,Citation,21-801(b),No,WHITE,F,MD,MD,A - Marked Patrol
05/26/2013,08:43:00,"4th district, Wheaton",OPERATOR NOT RESTRAINED BY SEATBELT,GEORGIA AVE @ NORBECK RD,No,No,No,No,No,No,No,MD,2004.0,FORD,TK,WHITE,Citation,22-412.3(b),No,HISPANIC,M,MD,MD,B - Unmarked Patrol
08/22/2013,11:15:00,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,ROCKVILLE PIKE / 1ST ST,No,Yes,No,No,No,No,No,MD,2001.0,FORD,RANGER,"BLUE, DARK",Citation,21-902(a1),No,WHITE,M,MD,MD,A - Marked Patrol
09/22/2013,20:07:00,"4th district, Wheaton",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,UNIVERSITY BLVD W/ AMHERST AVE,No,Yes,No,No,No,No,No,MD,2012.0,DODGE,AVENGER,SILVER,Citation,16-105(b1),No,HISPANIC,M,MD,MD,A - Marked Patrol
07/17/2013,09:37:00,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STOP SIGN LINE,RUSSELAVE & WALKER AVE,No,No,No,No,No,No,No,MD,2005.0,VOLKSWAGON,TOUAREG,BLACK,Citation,21-707(a),No,BLACK,F,MD,MD,A - Marked Patrol
07/06/2013,00:55:00,"5th district, Germantown",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-206,270@MIDDLEBROOK,No,No,No,No,No,No,No,MD,2006.0,DODG,4S,RED,Citation,16-303(h),No,BLACK,F,MD,MD,A - Marked Patrol
08/11/2013,12:46:00,"3rd district, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,NEW HAMPSHIRE AVE @ POWDER MILL ROAD,No,No,No,No,No,No,No,MD,2001.0,HONDA,CIVIC,BLACK,Citation,16-101(a),No,BLACK,M,MD,MD,A - Marked Patrol
02/22/2013,11:56:00,"3rd district, Silver Spring",DISPLAY SUSPENDED LIC.,UNIV BLVD E/E.FRANKLIN,No,No,No,No,No,No,No,MD,1998.0,DODG,INTREPID,WHITE,Citation,16-301(e),No,BLACK,M,MD,MD,A - Marked Patrol
02/02/2014,02:47:00,"2nd district, Bethesda","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",NB 355/ CHELSEA LN,No,No,No,No,No,No,No,MD,2013.0,TOYOTA,COROLLA,SILVER,Citation,16-303(h),No,WHITE,F,MD,MD,Q - Marked Laser
05/18/2013,14:15:00,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26-204,FREDERICK RD/E GUDE DR,No,No,No,No,No,No,No,MD,2004.0,LEXUS,RX330,GRAY,Citation,16-303(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
01/30/2014,12:30:00,"5th district, Germantown",DISPLAYING REG. PLATE ISSUED FOR OTHER VEHICLE,SB 355/SHAKESPEARE,No,No,No,No,No,No,No,MD,1997.0,JEEP,GRAND CHEROKEE,"GREEN, DK",Citation,13-411(g),No,WHITE,M,MD,MD,A - Marked Patrol
01/20/2016,15:52:00,"1st district, Rockville",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,355/ HALPINE RD,No,No,No,No,No,No,No,MD,2014.0,TOYT,SCION,SILVER,Citation,13-411(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
01/15/2014,02:13:00,"5th district, Germantown",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,124/CHRISTOPHER,No,No,No,No,No,No,No,MD,2004.0,CHEVY,MALIBU,WHITE,Citation,21-902(a1),No,BLACK,M,MD,MD,A - Marked Patrol
10/01/2014,17:10:00,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,N-270 @ DARNESTOWN OVERPASS,No,No,No,No,No,No,No,MD,2000.0,HONDA,CIVIC  4DR,"GREEN, DK",Citation,13-401(h),No,ASIAN,F,MD,MD,A - Marked Patrol
07/18/2013,22:32:00,"2nd district, Bethesda",DRIVING A RENTED MOTOR VEHICLE IN VIOLATION OF RENTAL AGREEMENT,ROCKVILLE PIKE / STRATHMORE AVE,No,No,No,No,No,No,No,MA,2013.0,FORD,EDGE,RED,Citation,18-106(b),No,BLACK,F,NC,MD,A - Marked Patrol
08/13/2013,16:55:00,"3rd district, Silver Spring",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,BRIGGS CHANEY RD AT 29SB RAMP,No,No,No,No,No,No,No,MD,1989.0,CADILLAC,DEVILLE,RED,Citation,13-411(a),No,BLACK,M,MD,MD,A - Marked Patrol
08/25/2014,12:32:00,"6th district, Gaithersburg / Montgomery Village",DRIVING WHILE IMPAIRED BY A CONTROLLED DANGEROUS SUBSTANCE,467 N FREDERICK AVE,No,No,No,No,No,No,No,MD,2003.0,MAZDA,4S,BLACK,Citation,21-902(d1),No,WHITE,F,MD,MD,A - Marked Patrol
05/21/2013,21:52:00,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,CLOPPER/ FIRST FIELD,No,No,No,No,No,No,No,MD,2006.0,CHRY,SU,SILVER,Citation,16-303(c),No,BLACK,M,MD,MD,A - Marked Patrol
05/31/2013,13:05:00,"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,11400 BLK LOCKWOOD DR,No,No,No,No,No,No,No,MD,2002.0,CHEV,MALIBU,BLACK,Citation,13-411(f),No,BLACK,M,MD,MD,A - Marked Patrol
09/30/2013,20:45:00,"3rd district, Silver Spring","DRIVING, ATTEMPTING) TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",BRIGGS CHANEY RD AT 29,No,No,No,No,Yes,No,No,MD,2008.0,HYUN,4S,BLUE,Citation,16-101(a),No,BLACK,M,DC,DC,A - Marked Patrol
07/26/2013,12:16:00,"4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",CONNECTICUT AVE @ EVERTON ST,No,No,No,No,No,No,No,MD,2012.0,HONDA,CR-V,WHITE,Citation,16-303(h),No,WHITE,F,MD,MD,A - Marked Patrol
12/22/2013,04:35:00,"2nd district, Bethesda","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",OLD GEORGETOWN RD/DEMOCRACY BLVD,No,No,No,No,No,No,No,MD,2003.0,HYUNDAI,TIBURON,BLACK,Citation,22-201.1,No,BLACK,M,MD,MD,A - Marked Patrol
05/26/2014,15:49:00,"4th district, Wheaton",DRIVING WHILE IMPAIRED BY ALCOHOL,NEW HAMPSHIRE AVE. @ GOOD HOPE RD.,No,No,Yes,No,No,No,No,MD,2003.0,HONDA,PILOT,GRAY,Citation,21-902(b1),No,HISPANIC,M,MD,MA,A - Marked Patrol
07/15/2013,13:02:00,"6th district, Gaithersburg / Montgomery Village",DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,WATKINS MILL RD @ TRAVIS AV,No,No,No,No,No,No,No,MD,1996.0,HOND,CIVIC,WHITE,Citation,21-202(m),No,WHITE,F,MD,MD,A - Marked Patrol
05/24/2013,03:57:00,"5th district, Germantown",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,GERMANTOWN RD @ CLOPPER RD,No,No,No,No,No,No,No,WV,1994.0,ACURA,VIGGA,GREEN,Citation,21-204(d),No,WHITE,M,WV,WV,A - Marked Patrol
09/06/2013,19:04:00,"1st district, Rockville",MOTOR VEH W/O REQUIRED STOP LAMPS EQUIPMENT,DARNESTOWN RD/TRAVILAH,No,No,No,No,No,No,No,MD,1989.0,CHEVROLET,CAPRICE,BLACK,Citation,22-206(a),No,BLACK,F,MD,MD,A - Marked Patrol
03/29/2014,08:49:00,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA AVE/BLUERIDGE AVE,No,No,No,No,No,No,No,MD,2000.0,TOYO,VN,TAN,Citation,21-201(a1),No,OTHER,F,MD,MD,A - Marked Patrol
05/08/2013,01:27:00,"3rd district, Silver Spring",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,NEW HAMPSHIRE AVE @ POWDER MILL,No,No,No,No,No,No,No,MD,1992.0,MITSUBISHI,3000GT,MAROON,Citation,13-409(b),No,BLACK,M,MD,MD,A - Marked Patrol
11/03/2013,17:16:00,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 45 MPH ZONE,CONNECTICUT AVE AT DEAN RD,No,No,No,No,No,No,No,MD,2007.0,DODGE,CARAVAN,RED,Citation,21-801.1,No,BLACK,F,MD,MD,A - Marked Patrol
04/16/2013,23:02:00,"3rd district, Silver Spring",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,9440 GEORGIA AVE,No,No,No,No,No,No,No,CO,2007.0,JEEP,WRANGLER,MAROON,Citation,13-409(b),No,WHITE,M,MD,MD,A - Marked Patrol
05/26/2013,20:36:00,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,UNIVERSITY BLVD E AT LANARK WAY,No,No,No,No,No,No,No,MD,2006.0,SCION,TC,BLUE,Citation,13-401(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
07/12/2013,18:14:00,"3rd district, Silver Spring",DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,GEOEGIA AVE/ SLIGO AVE,No,No,No,No,No,No,No,MD,1992.0,HONDA,ACCORD DX,WHITE,Citation,21-202(i1),No,BLACK,M,MD,MD,A - Marked Patrol
07/21/2013,16:48:00,"3rd district, Silver Spring",DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,SB PINEY BRANCH RD @ EB UNIVERSITY BLVD,No,No,No,No,No,No,No,MD,2005.0,DODGE,CARAVAN,"BLUE, DARK",Citation,21-202(h2),No,WHITE,M,MD,MD,A - Marked Patrol
06/12/2014,15:54:00,"2nd district, Bethesda","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",7904 RIVER RD,No,No,No,No,No,No,No,VA,2002.0,VOLKSWAGON,JETTA,BLUE,Citation,16-303(h),No,HISPANIC,M,VA,VA,A - Marked Patrol
04/11/2014,11:17:00,"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,1700 UNIVERSITY BLVD W,No,No,No,No,No,No,No,MD,2002.0,TOYOTA,COROLLA,SILVER,Citation,13-409(b),No,BLACK,F,MD,MD,A - Marked Patrol
06/07/2013,00:06:00,"3rd district, Silver Spring",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,UNIVERSITY BLVD E @ PINEY BRANCH RD.,No,No,No,No,No,No,No,MD,1995.0,HONDA,CIVIC,WHITE,Citation,22-219(a),No,HISPANIC,M,MD,XX,A - Marked Patrol
09/14/2013,11:07:00,"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",W DIAMOND AVE @ PERRY PARKWAY,No,No,No,No,No,No,No,MD,2000.0,HONDA,CIVIC,SILVER,Citation,16-303(h),No,HISPANIC,F,MD,MD,A - Marked Patrol
06/02/2013,13:58:00,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE WHILE UNDERTHE INFLUENCE OF ALCOHOL PER SE,W370 355 TO 270 HWY,No,No,No,No,No,No,No,MD,2000.0,NISSAN,QUEST,BLACK,Citation,21-902(a2),No,BLACK,F,MD,MD,A - Marked Patrol
05/31/2014,00:34:00,"2nd district, Bethesda",DISPLAYING REG. PLATE ISSUED FOR OTHER VEHICLE,SB OLD GEORGETOWN RD @ BEECH AVE,No,No,No,No,No,No,No,VI,1986.0,FORD,MUSTANG,RED,Citation,13-411(g),No,WHITE,M,NY,NY,A - Marked Patrol
05/24/2013,19:54:00,"4th district, Wheaton",OPERATOR NOT RESTRAINED BY SEATBELT,VEIRS MILL/ GRIDLEY,No,No,No,No,No,No,No,MD,2003.0,TOYT,4S,SILVER,Citation,22-412.3(b),No,ASIAN,M,MD,MD,A - Marked Patrol
10/22/2015,17:13:00,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FREDERICK AVE @ WAKE DR,No,No,No,No,No,No,No,MD,2012.0,HYUN,GENESIS,SILVER,Citation,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
10/15/2013,15:11:00,"4th district, Wheaton",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 27-103,GEORGIA AVE @ URBANA,No,No,No,No,No,No,No,MD,2001.0,CHRY,4S,GRAY,Citation,16-303(h),No,BLACK,M,MD,MD,A - Marked Patrol
08/12/2015,17:46:00,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE @ PRINCE PHILIP DR,No,No,No,No,No,No,No,MD,2004.0,CHEV,4D,TAN,Citation,16-112(c),No,BLACK,M,MD,MD,A - Marked Patrol
03/15/2014,03:21:00,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,CONNECTICUT AVENUE AND BEL PRE RD,No,No,No,No,No,No,No,MD,2000.0,MERZ,E430,BLACK,Citation,16-303(f),No,OTHER,M,MD,MD,A - Marked Patrol
08/06/2015,00:42:00,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,RIVER RD/LITTLE FALLS PKWY,No,No,No,No,No,No,No,MD,2008.0,HONDA,ACC,GREEN,Citation,21-902(b1),Yes,WHITE,F,MD,MD,A - Marked Patrol
01/08/2014,18:09:00,"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,IL495 AT GEORGIA AVE,No,No,No,No,No,No,No,MD,2013.0,HONDA,CIVIC,GRAY,Citation,16-303(c),No,BLACK,F,MD,MD,A - Marked Patrol
09/26/2013,04:25:00,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,GREAT SENECA HWY/KENTLANDS BLVD,No,Yes,No,No,No,No,No,MD,1999.0,MERCURY,GRAND MARQUIS,GRAY,Citation,16-303(c),No,BLACK,M,MD,MD,A - Marked Patrol
07/29/2013,08:19:00,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SHADY GROVE RD & RT 355,No,No,No,No,Yes,Yes,No,VA,2013.0,KEN,DUMPTK,RED,Citation,21-201(a1),No,HISPANIC,M,VA,VA,L - Motorcycle
12/31/2013,23:37:00,"6th district, Gaithersburg / Montgomery Village",FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,355 & FAIRBANKS ST,No,No,No,No,No,No,No,MD,2011.0,TOYOTA,CAMRY,RED,Citation,22-412.2(d),No,HISPANIC,M,MD,MD,A - Marked Patrol
04/25/2014,08:19:00,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,POOKS HILL RD @ LINDEN AV,No,No,No,No,No,No,No,MD,2011.0,HOND,CRV,BEIGE,Citation,21-201(a1),No,WHITE,F,MD,MD,A - Marked Patrol
04/23/2014,10:24:00,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SB GEORGIA @ COLESVILLE RD,No,No,No,No,No,No,No,MD,2014.0,TOYOTA,SCION TC,WHITE,Citation,21-201(a1),No,BLACK,M,MD,DC,A - Marked Patrol
08/17/2015,16:04:00,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,270/WOOTTON PKWY,No,No,No,No,No,No,No,PA,2007.0,LEXU,RX350,WHITE,Citation,21-1124.2(d2),No,WHITE,F,PA,PA,A - Marked Patrol
03/08/2014,18:36:00,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,RIVER RD X BURDETTE RD,No,No,No,No,No,No,No,MD,1999.0,TOYT,4S,TAN,Citation,13-411(f),No,WHITE,M,MD,MD,A - Marked Patrol
10/04/2013,08:54:00,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,SHADYGROVE RD @ MD 355,No,No,No,No,No,No,No,MD,1995.0,HONDA,2S,RED,Citation,13-409(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
05/11/2014,01:06:00,"4th district, Wheaton","FAILURE OF VEH. DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH.,OF DAMAGE",SHOREFIELD ROAD/SAWMILL COURT,No,No,No,No,No,No,No,MD,1999.0,TOYOTA,COROLLA,BLUE,Citation,20-105(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
04/02/2014,19:39:00,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,NEWPORT MILL @ DAWSON,No,No,No,No,No,No,No,MD,1999.0,VOLK,2S,BLUE,Citation,13-411(d),No,WHITE,M,MD,MD,S - License Plate Recognition
02/10/2014,19:02:00,"4th district, Wheaton",FAILURE OF VEH. DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,GEORGIA AVE/HEWITT AVE,No,No,No,No,No,No,No,MD,2007.0,HONDA,TRK,GRAY,Citation,20-105.1,No,HISPANIC,F,MD,MD,A - Marked Patrol
06/17/2015,01:23:00,"2nd district, Bethesda",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,RIVER RD/FALLS RD,No,No,No,No,No,No,No,MD,2002.0,AUDI,A4,SILVER,Citation,21-204(b),No,ASIAN,M,MD,MD,A - Marked Patrol
02/22/2014,00:22:00,"3rd district, Silver Spring",FAILURE NOTIFY ADM. ADDRESS CHANGE,COLESVILLE ROAD @ SLIGO CREEK PARKWAY,No,Yes,No,No,No,No,No,MD,1995.0,HOND,4S,"BLUE, LIGHT",Citation,16-116(a),No,WHITE,F,VA,VA,A - Marked Patrol
03/01/2014,14:54:00,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,HOLDRIDGE RD / DENLEY RD,No,No,No,No,No,No,No,MD,2001.0,CHRYSLER,PT CRUISER,GREEN,Citation,21-201(a1),No,WHITE,F,MD,MD,A - Marked Patrol
12/12/2013,16:29:00,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,N/B NEW HAMPSHIRE AVE/ WOLF DRIVE,No,No,No,No,No,No,No,MD,1996.0,LINCOLN,TOWNCAR,GOLD,Citation,16-303(f),No,BLACK,M,DC,DC,A - Marked Patrol
11/09/2013,02:23:00,"5th district, Germantown",DRIVING WHILE IMPAIRED BY ALCOHOL,"N/B I270 AT RT 27 RIDGE RD, 1 MILE NORTH",No,No,No,No,No,No,No,MD,2009.0,FORD,FUSION,BLACK,Citation,21-902(b1),No,WHITE,M,MD,MD,A - Marked Patrol
03/09/2014,21:32:00,"4th district, Wheaton",DRIVER FAILURE TO STOP AT STOP SIGN LINE,KEMP MILL RD/GLENALLEN AVE,No,No,No,No,No,No,No,MD,2010.0,HONDA,CRV,BLACK,Citation,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
01/22/2014,21:20:00,"2nd district, Bethesda",FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,ROCKVILLE PIKE AT JONES BRIDGE ROAD,No,No,No,No,Yes,No,No,MD,2002.0,HOND,TK,BLACK,Citation,13-411(c2),No,BLACK,M,GA,GA,A - Marked Patrol
02/23/2014,10:02:00,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,GEORGIA AVE/ BLUERIDGE AVE,No,No,No,No,No,No,No,MD,1998.0,TOYOTA,COROLLA,WHITE,Citation,13-401(h),No,WHITE,F,MD,MD,A - Marked Patrol
01/25/2014,14:55:00,"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GRANDVIEW AVE @ HENDERSON AVE,No,No,No,No,No,No,No,MD,2001.0,CHEVY,EXPRESS,WHITE,Citation,13-409(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
02/07/2014,08:42:00,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,EAST GATE DR & LAYHILL RD,No,No,No,No,No,No,No,MD,2007.0,VOLK,SU,BLACK,Citation,16-112(c),No,BLACK,M,MD,MD,A - Marked Patrol
09/25/2014,17:54:00,"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",COLUMBIA PIKE AND INDUSTRIAL PARKWAY,No,No,No,No,Yes,No,No,MD,2011.0,HONDA,ACCORD,BLACK,Citation,16-303(h),No,BLACK,F,MD,MD,A - Marked Patrol
04/18/2014,16:09:00,"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,LAYHILL RD @ BRIGGS RD,No,No,No,No,No,No,No,MD,2005.0,TOYOTA,SEQUOIA,BLACK,Citation,21-1124.2(d2),No,WHITE,F,MD,MD,A - Marked Patrol
04/11/2015,23:54:00,"4th district, Wheaton",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,BEL PRE RD @ ARCTIC AVE,No,No,No,No,No,No,No,MD,2003.0,HONDA,ACCORD,SILVER,Citation,21-902(a1),No,HISPANIC,M,MD,MD,A - Marked Patrol
03/19/2014,00:10:00,"3rd district, Silver Spring",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,650 UNIVERSITY BLVD E,No,No,No,No,No,No,No,MD,2011.0,NISSAN,ALTIMOA,BLACK,Citation,16-303(d),No,BLACK,M,MD,MD,A - Marked Patrol
01/25/2014,21:10:00,"2nd district, Bethesda","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",ARLINGTON RD AND MOORLAND LANE,No,No,No,No,No,No,No,MD,2014.0,MERZ,E350,WHITE,Citation,22-201.1,No,WHITE,M,MD,MD,A - Marked Patrol
09/19/2014,14:09:00,"4th district, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,BONIFANT RD/NOTLEY RD,No,No,No,No,No,No,No,MD,1996.0,NISSAN,MAXIMA,BLACK,Citation,16-101(a),No,HISPANIC,F,MD,MD,A - Marked Patrol
01/25/2014,15:45:00,"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",LOST KNIFE CIR/ LOST KNIFE RD,No,No,No,No,Yes,No,No,MD,2012.0,TOYOTA,COROLLA,BLACK,Citation,16-303(h),No,WHITE,M,MD,MD,A - Marked Patrol
06/13/2014,08:53:00,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEH. ON HWY. ON REVOKED LIC. AND PRIVILEGE,11701 CLOPPER ROAD,No,No,No,No,No,No,No,MD,2001.0,DODGE,GRAND CARAVAN,BLUE,Citation,16-303(d),No,WHITE,M,MD,MD,A - Marked Patrol
12/22/2013,18:26:00,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,RIVER / COUNCILMAN,No,No,No,No,No,No,No,MD,2003.0,HONDA,PILOT,BLUE,Citation,13-411(d),No,WHITE,F,MD,MD,A - Marked Patrol
