SubAgency,Description,Location,Belts,Personal Injury,Property Damage,CommercialLicense,CommercialVehicle,Alcohol,State,Make,Model,Color,ViolationType,Charge,ContributedToAccident,Race,Gender,Driver State,DL State,ArrestType
"2nd district, Bethesda",RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,EAST WEST HIGHWAY/ CONNECTICUT AVE,No,No,No,No,No,No,MD,JAGU,4S,BLACK,Citation,21-901.1(a),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",MOTOR VEH. EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM,GEORGIA AVENUE/BATHECELORS FOREST,No,No,No,No,No,No,MD,HONDA,4D,GRAY,Warning,22-609(b),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,MEADOW LA / ASPEN ST,No,No,No,No,No,No,MD,HYUN,SONATA,RED,Warning,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER  26-206,ROCKLEDGE ON N/B I270,No,No,No,No,No,No,MD,MERCURY,4 DOOR,RED,Citation,16-303(h),No,OTHER,F,MD,MD,S - License Plate Recognition
"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,495/187,No,No,No,No,No,No,MD,NISSAN,SENTRA,SILVER,Citation,16-303(c),No,BLACK,F,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,109/ COMUS,No,No,No,No,No,No,MD,MERZ,4S,BLACK,Warning,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"1st district, Rockville",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,E/B E GUDE AT SOUTHLAWN,No,No,No,No,No,No,MD,VOLK,4S PASSAT,BLACK,Citation,21-204(b),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,EDSON LN @ WOODGLEN DR,No,No,No,No,No,No,MD,HONDA,ACCORD,SILVER,Citation,21-201(a1),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,RANDOLPH / LIVINGSTON,No,No,No,No,No,No,MD,JEEP,TK,GRAY,Warning,16-116(a),No,WHITE,F,MD,MD,A - Marked Patrol
"5th district, Germantown",FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,MIDDLEBROOK RD @ I-270,No,No,No,No,No,No,MD,HOND,TK,TAN,Warning,13-411(c2),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton","FAILURE OF VEH. DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH.,PROPERYOF DAMAGE",12807 PARKLAND ROAD,No,No,Yes,No,No,No,MD,CHEVY,MONTECARLO,RED,Citation,20-105(b),Yes,HISPANIC,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",OPERATING A M/V W/O PROPER REQUIRED EMERGENCY ROADSIDE WARNING DEVICES,MD 355 @ MONTGOMERY AVE,No,No,No,No,No,No,MD,FORD,F250,WHITE,Warning,11-393.95(f),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,LIVINGSTON ST / RANDOLPH RD,No,No,No,No,No,No,MD,FORD,ESCAPE,MULTICOLOR,Warning,13-703(g),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,VEIRS MILL @ MONTERREY,No,No,No,No,No,No,MD,MINI,COOPER,WHITE,Warning,16-112(c),No,WHITE,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,NEW HAMPSHIRE AVE AND POWDER MILL RD,No,No,No,No,No,No,MD,CHEV,IMP,BLUE,Citation,16-112(c),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,VEIRS MILL RD/UNIVERSITY BLVD W,No,No,No,No,No,No,MD,CHEVROLET,TAHOE,BLACK,Warning,21-1124.2(d2),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,NEW HAMPSHIRE AVE @ RANDOLPH RD,No,No,No,No,No,No,MD,TOYOTA,HIGHLANDER,TAN,Citation,22-412.2(d),No,HISPANIC,M,MD,MD,A - Marked Patrol
"1st district, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,TRAVILAH RD/ NATIA MANOR DR,No,No,No,No,No,No,MD,FORD,ESCAPE,BLACK,Citation,16-112(c),No,WHITE,M,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,MD 124 SB/ MD 355,Yes,No,No,Yes,Yes,No,MD,ORION,BUS,GREEN,Warning,21-202(h1),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",PERSON DRIVING ON HWY. VEH. WITH VISIBLE BLUE LAMP,355/POOKSHILL RD,No,No,No,No,No,No,MD,TOYOTA,SUV,GRAY,Citation,22-227(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,109 SELLMAN,No,No,No,No,No,No,MD,TOY,4S,SILVER,Warning,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"4th district, Wheaton",VIOLATING LIC. RESTRICTION,SB GEORGIA AVE @ HATHAWAY DRIVE,No,No,No,No,No,No,MD,HONDA,PILOT,GRAY,Warning,16-113(h),No,HISPANIC,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,BRIGGS CHENEY ROAD/OUTLET DRIVE,No,No,No,No,No,No,MD,TOYT,2D,BLACK,Citation,21-201(a1),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,FATHER HURLEY/PALMETTO,No,No,No,No,No,No,MD,HONDA,ODYSSEY,SILVER,Warning,21-801.1,No,ASIAN,M,MD,MD,E - Marked Stationary Radar
"1st district, Rockville",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,DARNESTOWN RD/TSCHIFFELY SQUARE RD,No,No,No,No,No,No,MD,KIA,SPORTAGE,RED,Warning,13-409(b),No,HISPANIC,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,MIDCOUNTY HWY / PEIR POINT DR,No,No,No,No,No,No,MD,LINC,LS,GOLD,Citation,13-411(d),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,WEST CEDAR LN @ LOCUST AVE,No,No,No,No,No,No,MD,CHRYSLER,TOWN & COUNTRY,WHITE,Citation,13-411(f),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,SB270@EXIT 9,No,No,No,No,No,No,MD,HONDA,ACCORD,SILVER,Warning,21-801(a),No,WHITE,M,MD,MD,A - Marked Patrol
"1st district, Rockville",MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,DARNESTOWN RD @  SHADY GROVE RD,No,No,No,No,No,No,MD,HONDA,ACCORD,GREEN,Warning,22-206(a),No,OTHER,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,RT 108 AND RT 97,No,No,No,No,No,No,MD,MAZD,4S,"GREEN, LGT",Warning,16-116(a),No,WHITE,M,MD,MD,A - Marked Patrol
"5th district, Germantown","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",26726 RIDGE ROAD,No,Yes,No,No,No,No,MD,HONDA,PILOT,GRAY,Citation,21-901.1(b),Yes,WHITE,M,PA,PA,A - Marked Patrol
"4th district, Wheaton",MOTOR VEH.W/O REQUIRED STOP LAMPS EQUIPMENT,VEIRS MILL RD @ UNIVERSITY BLVD W,No,No,No,No,No,No,MD,HONDA,CRV,GREEN,Warning,22-206(a),No,HISPANIC,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,FIRESTONE DR AND NORBECK RD,No,No,No,No,No,No,MD,CHEV,4S,CREAM,Citation,22-412.2(d),No,HISPANIC,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,PARKED IN FRONT OF 3805 LELAND ST,No,No,No,No,No,No,CO,VOLVO,XC90,"BLUE, DARK",Warning,13-411(f),No,OTHER,U,XX,XX,A - Marked Patrol
"1st district, Rockville",WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER,MAC AURTHER BLVD AND WHITERIM ROAD,No,No,No,No,No,No,MD,JAGU,4S,"BLUE, LIGHT",Warning,21-103(a),No,WHITE,M,MD,MD,A - Marked Patrol
Headquarters and Special Operations,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,CRYSTAL ROCK DR @ CRYSTAL ROCK CT,No,No,No,No,No,No,MD,INFIN,2S,GRAY,Citation,16-112(c),No,BLACK,M,MD,MD,B - Unmarked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,HILLCREST PL / ROSEMARY CIR,No,No,No,No,No,No,MD,HOND,ODYSSEY,BLUE,Warning,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",COLESVILLE RD / DALE DR,No,No,No,No,No,No,MD,JEEP,GRAND CHEROKEE,GRAY,Warning,22-201.1,No,BLACK,F,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CRYSTAL ROCK DR & CENTURY BLVD,No,No,No,No,No,No,MD,KIA,SPECTRA,WHITE,Citation,21-1124.2(d2),No,BLACK,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,WISCONSIN AVE AT OLD GEORGETOWN RD,No,No,No,No,No,No,VA,TOYOTA,COROLLA,BLACK,Warning,21-201(a1),No,OTHER,F,VA,VA,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 55 MPH IN A POSTED 35 MPH ZONE,SHADY GROVE METRO EXIT @ SHADY GROVE RD,Yes,No,No,No,No,No,MD,HONDA,CIVIC,BLUE,Citation,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,VEIRS MILL RD/CONNECTICUT AVE,No,No,No,No,No,No,MD,FORD,FOCUS,GRAY,Citation,16-112(c),No,HISPANIC,M,MD,XX,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 45 MPH IN A POSTED 30 MPH ZONE,RIFFLEFORD RD/BRANDON WAY,No,No,No,No,No,No,MD,KIA,OPTIMA,WHITE,Citation,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
"4th district, Wheaton",FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED. ADJACENT TO STOPPED EMERG. VEH.,SB GEORGIA AVENUE / URBANA DRIVE,No,No,No,No,No,No,MD,GMC,TK,SILVER,Citation,21-405(e1),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA  AVE AND GLENALLAN AVE,No,No,No,No,No,No,MD,FORD,4S,BLUE,Warning,21-309(b),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,MONTGOMERY VILLAGE AVE @ FREDRICK AVE,No,No,No,No,No,No,MD,FORD,CROWN VICTORIA,BLACK,Warning,13-411(f),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,RIDGE RD @ APPLE ORCHARD WAY,No,No,No,No,No,No,MD,HONDA,ACCORD,SILVER,Warning,21-801.1,No,BLACK,F,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 53 MPH IN A POSTED 40 MPH ZONE,DARNESTOWN RD & DUFIEF DR.,No,No,No,No,No,No,MD,ACUR,4S,SILVER,Citation,21-801.1,No,HISPANIC,M,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",VEH. FAILURE TO DISPLAY & REFLECT AMBER COLOR LIGHT ON LAMPS & REFLECTORS AS REQ.,SPICEBERRY LA  (8200),No,No,No,No,No,No,MD,TOYT,2S,GRAY,Warning,22-209(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,MUDDY BRANCH RD @ PALMSPRING DR,No,No,No,No,No,No,MD,HOND,ACCORD,"BLUE, LIGHT",Citation,22-412.3(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,1317 EAST WEST HWY - PUBLIC GARAGE,Yes,No,No,No,No,No,MD,VW,4S,BLACK,Citation,21-201(a1),No,WHITE,F,MD,MD,Q - Marked Laser
"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,N/B GEORGIA AVE @ CONNECTICUT AVE,No,No,No,No,No,No,MD,TOYOTA,AVALON,BEIGE,Citation,13-401(h),No,BLACK,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING VEH. WITH WINDSHIELD VIEW OBSTRUCTED BY SIGN MATERIAL,NEW HAMPSHIRE AVE / ADELPHI RD,No,No,No,No,No,No,MD,HONDA,ACCORD,GREEN,Warning,21-1104(d),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,CONN AVE ON E/B I495,No,No,No,No,No,No,MD,TOYOTA,4 DOOR,BLUE,Citation,16-101(a),No,BLACK,M,MD,MD,S - License Plate Recognition
"2nd district, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,FALLS RD ON N/B I270,No,No,No,No,No,No,MD,HONDA,4 DOOR,BLACK,Citation,16-101(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,OLD GEORGETOWN RD ON S/B I270,No,No,No,No,No,No,MD,CADILLAC,TK,TAN,Citation,16-101(a),No,BLACK,F,MD,MD,S - License Plate Recognition
"4th district, Wheaton",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,GEORGIA @ HEWITT,No,No,No,No,No,No,MD,NISS,4S,BLACK,Warning,22-204(f),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE/HATHAWAY RD,No,No,No,No,No,No,MD,CHEVY,TAHOE,BLUE,Citation,16-112(c),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,CONNECTICUT AVE AND CONCORD ST,No,No,No,No,No,No,MD,HONDA,ACCORD,GRAY,Citation,21-201(a1),No,HISPANIC,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,ROCKVILLE PIKE @ FIRST STREET,Yes,No,Yes,No,No,No,MD,TOYOTA,RAV4,RED,Citation,21-402(a),Yes,WHITE,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 45 MPH ZONE,MID COUNTY HWY E/B & MILLER FALL RD,No,No,No,No,No,No,MD,HONDA,CIVIC,GRAY,Citation,21-801.1,No,WHITE,M,MD,MD,Q - Marked Laser
Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,STRINGTOWN RD @ FREDERICK RD,No,No,No,Yes,No,No,MD,FORD,TK DUMP,RED,Warning,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
"1st district, Rockville",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,TOWER OAKS BLVD/I-270,No,No,No,No,No,No,MD,FORD,TAURUS,SILVER,Citation,13-401(b1),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,3425 EMORY CHURCH RD,No,No,No,No,No,No,MD,SCION,XD,BLUE,Warning,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,FALLS RD/WOOTON PKWY,No,No,No,No,No,No,MD,VOLKSWAGON,GTI,RED,Warning,13-411(d),No,BLACK,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,MONTGOMERY VILLAGE @ RUSSELL,No,No,No,No,No,No,MD,TOYT,TK,BLACK,Warning,21-201(a1),No,ASIAN,F,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,SB RT 355 @ BOU AVE,No,No,No,No,No,No,VA,HONDA,CIVIC,GREEN,Citation,21-202(h1),No,OTHER,M,VA,VA,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,OLDE TOWNE AVE/FULKS CORNER AVE,No,No,No,No,No,No,MD,CADILLAC,ESCALADE,WHITE,Citation,16-101(a),No,HISPANIC,M,MD,XX,A - Marked Patrol
"3rd district, Silver Spring","HEADLIGHT, TAILLIGHT, STOPLIGHT, TURN SIGNAL, ID LIGHT, CLEARANCE LIGHT, MARKER LIGHT INOPERATIVE",NEW HAMPSHIRE AVE/ MAHAN RD,No,No,No,No,No,No,MD,FORD,FOCUS,RED,Citation,11-393.9,No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,CHERRY HILL ROAD/PLUM ORCHARD DRIVE,No,No,No,No,No,No,MD,TOYT,4 RUNNER,RED,Citation,21-301(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
Headquarters and Special Operations,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,WAYNE AVE AT DALE DR,No,No,No,No,No,No,MD,ACUR,4S,GRAY,Warning,21-204(b),No,HISPANIC,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,MACARTHUR BLVD/WALHONDING RD,No,No,No,No,No,No,VA,SUZUKI,GVT,RED,Warning,21-801.1,No,WHITE,F,VA,VA,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,355 / GAME PRESERVE RD,No,No,No,No,No,No,MD,FORD,F250,RED,Warning,23-104,No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,GEORGIA AVE/RANDOLPH RD,No,No,No,No,No,No,VA,LEXUS,1S 300,GOLD,Citation,16-101(a),No,ASIAN,M,VA,MD,A - Marked Patrol
"3rd district, Silver Spring",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,FENTON ST AND ROEDER RD,No,No,No,No,No,No,MD,MAZDA,PROTEGE,GREEN,Warning,13-703(g),No,BLACK,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",KNOWINGLY DRIVING UNINSURED VEHICLE,12021 GEORGIA AVENUE,No,No,Yes,No,No,No,MD,NISSAN,SENTRA,BLACK,Citation,17-107,No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,355 / BOU AVE,No,No,No,No,No,No,MD,TOYOTA,CAMRY,RED,Citation,16-105(b1),No,ASIAN,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,TILDEN LN @ MARCLIFF,No,No,No,No,No,No,MD,TOYT,4 DOOR,GRAY,Warning,21-201(a1),No,OTHER,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,NRT 650 @ MD200,No,No,No,No,No,No,MD,TOYOTA,COROLLA,SILVER,Warning,21-201(a1),No,OTHER,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ELM ST @ ALRINGTON RD,No,No,No,No,No,No,MD,TOYT,HIGHLANDER,BLACK,Citation,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,NORBECK RD WB / FIRESTONE DR,No,No,No,No,No,No,MD,FORD,EXPEDITION,BLACK,Citation,16-112(c),No,BLACK,M,MD,MD,Q - Marked Laser
"4th district, Wheaton",DRIVER USE OF MOTOR VEH. HORN ON HWY. WHEN NOT REASONABLY NECESSARY FOR SAFETY,NEW HAMISPHERE/ICC,No,No,No,No,No,No,MD,SUBA,4S,WHITE,Citation,22-401(b),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,COLESVILLE ROAD AT I-495,No,No,No,No,No,No,MD,DODGE,CHARGER,BLACK,Warning,21-801.1,No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,SB 29/ GREECASTLE RD,No,No,No,No,No,No,MD,LEXS,ES350,BLACK,Citation,21-801(b),Yes,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,ROCKVILLE PIKE N/B @ TALBOT,No,No,No,No,No,No,MD,CHEVY,TK,WHITE,Citation,21-801.1,No,WHITE,M,MD,MD,G - Marked Moving Radar (Stationary)
"4th district, Wheaton",DRIVER FAIL TO YIELD INTERSECTION RIGHT-OF-WAY TO VEH. AFTER TURN ON RED,LAYHILL ROAD @ BRIGGS ROAD,No,No,No,No,No,No,MD,FORD,4S,MAROON,Citation,21-202(k),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100' OF TRAVEL BEFORE TURNING,NEW HAMPSHIRE AVE/ROUTE 108,No,No,No,No,No,No,MD,AUDI,A7,BLACK,Warning,21-604(d),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA AVE & WENDY LN,No,No,No,No,No,No,MD,HOND,CIVIC,SILVER,Warning,21-309(b),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER TURNING VEHICLE WITHOUT GIVING APPROPRIATE SIGNAL AS REQUIRED,GEORGIA AVE @ CONNECTICUT AVE,No,No,No,No,No,No,MD,VOLK,2S,BLACK,Warning,21-604(c),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",UNSAFE LANE CHANGING,NB 270/MONTROSE,No,No,No,Yes,No,No,VA,HONDA,CIVIC,SILVER,Citation,21-309(b),No,WHITE,M,VA,VA,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,AMHERST AVE / REEDIE DR,No,No,No,No,No,No,MD,TOYT,4S,RED,Warning,21-201(a1),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,RANDOLPH RD AT LAUDERDALE DR,No,No,No,No,No,No,MD,AUDI,A6,BLACK,Warning,13-411(f),No,ASIAN,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER CHANGING LANES WHEN UNSAFE,GOSHEN RD/WILLOW CREEK DR,No,No,No,No,No,No,MD,NISSAN,ALTIMA,SILVER,Warning,21-309(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,INDIANOLA/FREDERICK RD,No,No,No,No,No,No,MD,VOLKSWAGON,JETTA,WHITE,Warning,21-1104(c),No,BLACK,F,MD,MD,A - Marked Patrol
